url,title,company,origin,tech
https://www.finn.no/job/fulltime/ad.html?finnkode=334660507,Trives du med store og varierte datamengder? Da er kanskje du vår nye Data Engineer!,Etterretningstjenesten,finn.no,"Python, Scala"
https://www.finn.no/job/fulltime/ad.html?finnkode=334661383,Spennende Supportstilling med gode utviklingsmuligheter,Hodejakt1,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334657413,Ønsker du å bidra til utvikling og drift av våre Sikkerhetstjenester? Sjekk ut denne jobben!,Eviny AS,finn.no,Azure
https://www.finn.no/job/fulltime/ad.html?finnkode=334659618,IT-utvikler på jakt etter spennende utfordring?,Jobzone Kristiansand,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=315366739,"Sommerjobb i Sopra Steria 2024 – Informasjonssikkerhet, Design eller Teknologi",Sopra Steria,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334652853,Java-utvikler?,Reflekt IT bemanning AS,finn.no,Java
https://www.finn.no/job/fulltime/ad.html?finnkode=334651152,"Skyarkitekt, løsningsarkitekt, virksomhetsarkitekt, IT sjef",Reflekt IT bemanning AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334641123,Sopra Steria - Nyutdannet innen Sikkerhet 2024,Sopra Steria,finn.no,"Azure, Linux, AWS"
https://www.finn.no/job/fulltime/ad.html?finnkode=334635854,Do you want to make products that help people think better?,reMarkable,finn.no,"Python, C++"
https://www.finn.no/job/fulltime/ad.html?finnkode=334635785,Vil du jobbe in-house og hjelpe oss med å effektivisere hverdagen til våre ansatte?,Azets Insight AS,finn.no,"AWS, React, GraphQL, PostgreSQL, API"
https://www.finn.no/job/fulltime/ad.html?finnkode=334635789,"Lei av legacy, teknisk gjeld og drift av gamle løsninger? Vil du heller være med å bygge noe med ny og moderne tek...",Azets Insight AS,finn.no,"API, C#, Serverless"
https://www.finn.no/job/fulltime/ad.html?finnkode=313235589,Sopra Steria - Nyutdannet innen Teknologi 2024,Sopra Steria,finn.no,"DevOps, Azure, Linux, AWS"
https://www.finn.no/job/fulltime/ad.html?finnkode=334625961,Er du vår nye testansvarlig?,Skatteetaten,finn.no,Git
https://www.finn.no/job/fulltime/ad.html?finnkode=334620101,Skap samspill mellom mennesker og maskiner: Senior-utvikler søkes!,Element Logic,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=315462326,Senior systemutvikler og medeier til Bergenskontoret,Kantega AS,finn.no,DevOps
https://www.finn.no/job/fulltime/ad.html?finnkode=334619024,Cybersecurity Analyst,Equinor ASA,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=333460460,Vi trenger din .NET-ekspertise!,Abacus It AS,finn.no,"JavaScript, REST, API, CSS"
https://www.finn.no/job/fulltime/ad.html?finnkode=334590162,Traineemuligheter for nyutdannede Bachelor- og Masterstudenter - oppstart august 2024,Trainee Sørvest,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334547481,Vil du ta fatt på spennende og samfunnsnyttige oppdrag innen sikkerhet?,EXPERIS AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334541826,Helthjem søker løsningsarkitekt / teknisk prosjektleder,Helthjem,finn.no,"Kubernetes, AWS"
https://www.finn.no/job/fulltime/ad.html?finnkode=334534674,Vil du være med på å utvikle våre digitale løsninger?,Oslo Pensjonsforsikring AS,finn.no,"REST, API, TypeScript, Azure"
https://www.finn.no/job/fulltime/ad.html?finnkode=334535774,Integration Developer (C#),Statkraft AS,finn.no,"Azure, Python, API"
https://www.finn.no/job/fulltime/ad.html?finnkode=334531787,Vil du være med på .NET-utvikling av våre digitale løsninger?,Oslo Pensjonsforsikring AS,finn.no,"TypeScript, Azure, REST, API"
https://www.finn.no/job/fulltime/ad.html?finnkode=334531698,"Forvaltningsrådgiver med ekspertise i IT, økonomi og excel.",Norsk filmforbund,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334536353,Er du en datadrevet teknolog som vil være med på moderniseringen av TONO? Bli vår nye Leder – digitale tjenester (CTO)!,TONO SA,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334532124,Vil du være med å bygge opp det som skal bli Kristiansands beste arbeidsplass for systemutviklere?,Sopra Steria,finn.no,"Java, DevOps, Microservices"
https://www.finn.no/job/fulltime/ad.html?finnkode=334525979,Har du interesse for kvalitetssikring og programvareutvikling?,Visma Enterprise AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334526884,PayEx åpner dørene for Java-utviklere!,PayEx AS,finn.no,"Java, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=334518904,Vil du jobbe med IT-sikkerhet i vårt Blue-team i en fremoverlent kommune med supert arbeidsmiljø?,Horten kommune,finn.no,"Azure, Docker, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=334515706,Spennende sommeroppdrag hos stort forvaltningsselskap,Manpower,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334515467,"Kunnskap om tilgangstyring? IAM drift og utvikling trenger flere folk i Grimstad, Oslo, Trondheim eller Mo i Rana!",Skatteetaten,finn.no,"REST, SQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=334511961,Geodataingeniør,Oslo kommune,finn.no,
